,Kanji,Reading,Meaning,Frequency
43,曜日,ようび,day of the week,
44,予期,よき,expectation; anticipation; forecast,
45,横切る,よこぎる,to cross (e.g. road); to traverse,
46,予算,よさん,estimate (of costs); budget,2204.0
47,止す,よす,to stop (doing); to cease; to desist; to drop; to lay off; to give up; to quit,
48,予測,よそく,prediction; estimation,2726.0
49,,ヨット,yacht (esp. a sailing boat with one mast); sailing boat; sailboat,
50,夜中,よなか,[1] middle of the night; dead of night [2] Yonaka,1840.0
51,世の中,よのなか,society; the world; the times,938.0
52,余分,よぶん,extra; excess; surplus,
53,予報,よほう,forecast; prediction,
54,予防,よぼう,prevention; protection (against); precaution,3503.0
55,読み,よみ,"[1] reading [2] reading (of a kanji, esp. kun reading) [3] reading (e.g. of a situation); insight; judgment; interpretation; prediction; calculation",
56,嫁,よめ,[1] bride [2] (one's) daughter-in-law [3] wife,2997.0
57,余裕,よゆう,[1] surplus; margin; leeway; room; space; time; allowance; flexibility; scope [2] composure; placidity; complacency; calm,1559.0
58,喜び,よろこび,joy; delight; rapture; pleasure; gratification; rejoicing; congratulations; felicitations,1428.0
59,宜しい,よろしい,good; OK; all right; fine; very well; will do; may; can,2114.0
60,宜しく,よろしく,[1] well; properly; suitably [2] best regards; please remember me; please treat me favorably (favourably); please take care of; please do [3] just like ...; as though one were ...,1253.0
61,欧羅巴,ヨーロッパ,[1] Europe [2] Europe,1030.0
0,,ライター,lighter,4378.0
1,楽,らく,[1] comfort; ease; relief; (at) peace; relaxation [2] easy; simple; without trouble; without hardships [3] (economically) comfortable,1128.0
2,,ラケット,racket; paddle (in table-tennis),
3,利益,りえき,"[1] profit; gains [2] benefit; advantage; good; interests (e.g. of society) [3] grace (of God, Buddha, etc., esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle",1395.0
4,理解,りかい,[1] understanding; comprehension; appreciation [2] sympathy,546.0
5,陸,りく,land; shore,
6,利口,りこう,[1] clever; intelligent; bright; smart; wise; sensible; shrewd [2] well-behaved (esp. of children and pets); obedient; good,
7,離婚,りこん,divorce,2457.0
8,理想,りそう,ideal; ideals,2575.0
9,率,りつ,rate; ratio; proportion; percentage,
10,留学,りゅうがく,[1] studying abroad [2] (temporarily) studying at another school (to learn a specific skill),2840.0
11,流行,りゅうこう,[1] fashion; trend; vogue; craze; fad; popularity [2] prevalence (of a disease); epidemic,3101.0
12,量,りょう,[1] quantity; amount; volume; capacity; portion (of food) [2] generosity; magnanimity; tolerance [3] pramana (means by which one gains accurate and valid knowledge; in Indian philosophy),1041.0
13,両替,りょうがえ,change; money exchange,
14,料金,りょうきん,fee; charge; fare,2136.0
15,例,れい,[1] example; instance; illustration; case [2] precedent [3] custom; habit; practice; usage,592.0
16,礼,れい,[1] thanks; gratitude [2] manners; etiquette [3] bow (i.e. bending of the body); bowing,2323.0
17,冷静,れいせい,calmness; composure; coolness; serenity; presence of mind,3169.0
18,列車,れっしゃ,train; railway train,2525.0
19,列,れつ,[1] row; line; file; column; queue; rank; procession [2] company (of someone); group; ranks [3] sequence,3865.0
20,連想,れんそう,association (of ideas); being reminded (of something); suggestion,
21,連続,れんぞく,continuation; succession; series,3335.0
22,老人,ろうじん,old person; senior citizen; the aged; the elderly,1643.0
23,労働,ろうどう,[1] labor; labour; work [2] Labour Party,3491.0
24,,ロケット,rocket,
25,論じる,ろんじる,[1] to discuss; to talk about; to deal with (a topic) [2] to argue; to dispute [3] to take into consideration; to make an issue of,
26,論争,ろんそう,dispute; controversy; debate; argument; taking issue,
27,論文,ろんぶん,thesis; essay; treatise; paper; article,3151.0
0,輪,わ,[1] ring; circle; loop [2] hoop [3] wheel,3460.0
1,,ワイン,wine,1520.0
2,別れ,わかれ,parting; separation; farewell,3071.0
3,我儘,わがまま,[1] selfish; egoist [2] self-indulgent; wilful; willful,3475.0
4,脇,わき,[1] armpit; under one's arm; side; flank [2] beside; close to; near; by [3] aside; to the side; away; out of the way,2722.0
5,分ける,わける,[1] to divide (into); to split (into); to part; to separate; to divide up; to classify; to sort out; to divide out [2] to share; to distribute; to deal out; to dish out [3] to distinguish; to discriminate; to differentiate (between),1038.0
6,態と,わざと,on purpose; deliberately; intentionally,3840.0
7,僅か,わずか,[1] a little; a few; small; slight; trifling; meagre; meager; narrow (margin) [2] only; just; merely; no more than,1144.0
8,綿,わた,[1] cotton plant (Gossypium spp.) [2] batting; wadding; padding,
9,話題,わだい,[1] topic; subject [2] much talked about; topical; in the news; hot,1089.0
10,笑い,わらい,[1] laugh; laughter [2] smile [3] sneer,563.0
11,割る,わる,[1] to divide [2] to cut; to halve; to separate; to split; to rip [3] to break; to crack; to smash,2661.0
12,悪口,わるぐち,(verbal) abuse; speaking ill of people; bad-mouthing; name-calling; slander; abusive language; insulting remarks,
13,我々,われわれ,we,527.0
14,湾,わん,bay; gulf; inlet,
